Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-11-24,Caminar por Madrid,11:30,De 15 a 64 años,90 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-24,Carrera acuática,16:00,De 15 a 64 años,30 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-24,Estiramientos relajación,18:30,De 15 a 64 años,60 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-24,Estiramientos relajación,13:15,De 15 a 64 años,30 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-24,Natación acondicionamiento,19:00,De 15 a 64 años,45 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-24,Pilates,12:00,De 15 a 64 años,60 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-24,Cubo Gym Cross Training/Funcional,"11:15, 16:30, 18:15, 19:15",De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Fitness,19:15,De 15 a 64 años,60 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Fitness acuático MesD,"13:00, 15:30",De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Fuerza CORE,20:30,De 15 a 64 años,30 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Gimnasia acuática,12:15,De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Natación acondicionamiento,"15:30, 20:15",De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Pádel acondicionamiento,"11:00, 18:30",De 15 a 64 años,60 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Prueba de nivel natación,"13:00, 16:15, 17:00, 18:00, 20:15",A partir de 6 años,5 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-24,Entrenamiento en suspensión,20:00,,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-24,Estiramientos y relajación Express,12:30,,30 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-24,Fuerza CORE,18:00,,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-24,Gimnasia acuática,"18:30, 20:00",,45 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-24,Natación acondicionamiento,"13:00, 14:15, 15:45",,45 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-24,Pilates,19:00,,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-24,Ciclo sala,"18:40, 20:10",De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-24,Entrenamiento por intervalos,20:30,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-24,Estiramientos relajación,11:00,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-24,Fuerza GAP,19:45,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-24,Gimnasia acuática,20:15,De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-24,Pilates,20:00,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-24,Ciclo sala,12:00,De 15 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-24,Cubo Gym Cross Training/Funcional,"13:15, 15:30, 19:45",De 15 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-24,Fuerza GAP,12:15,De 15 a 64 años,30 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-24,Natación acondicionamiento,"13:00, 20:15",De 17 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-24,Pádel acondicionamiento,18:00,De 15 a 64 años,60 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-24,Piragüismo por Madrid,11:30,De 15 a 64 años,90 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-24,Tenis acondicionamiento,16:00,De 15 a 64 años,60 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-24,Baloncesto acondicionamiento,19:45,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Ciclo sala,17:00,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Circuito fitness,18:00,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Combinada Sala,17:00,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Cubo Gym Cross Training/Funcional,19:15,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Fitness Acuatico,"16:15, 19:30",De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Fuerza en sala multitrabajo,11:45,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Fuerza GAP,16:30,De 15 a 64 años,30 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Natación acondicionamiento,16:15,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Pádel acondicionamiento,"17:00, 18:00, 19:00",De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Pilates,"16:00, 18:15, 19:15",De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Salvamento y socorrismo,20:00,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-24,Cubo Gym Cross Training/Funcional,11:00,De 15 a 64 años,45 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-24,Prueba de nivel natación para CDM Casa de Campo,"11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:30, 18:00, 18:30, 19:00, 19:30, 20:30",A partir de 6 años,5 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-24,Carrera acúatica,12:45,De 15 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-24,Circuito fitness,19:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-24,Esnórquel acondicionamiento,12:45,De 15 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-24,Fuerza GAP MesD,18:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-24,Gimnasia acuatica,19:30,De 16 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-24,Natación acondicionamiento,"12:45, 13:30, 15:00, 15:45",De 16 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-24,Prueba de nivel natación,"11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 20:30",,15 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-24,Aletas acondicionamiento,13:15,De 15 a 64 años,45 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Combinada piscina,15:30,De 15 a 64 años,15 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Fitness acuático MesD,19:00,De 15 a 64 años,45 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Fuerza GAP MesD,18:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Gimnasias suaves,16:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Natación acondicionamiento,"15:00, 19:15",De 15 a 64 años,45 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Padel acondicionamiento,"15:00, 16:00",,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Pickleball Acondicionamiento,"12:00, 15:00",De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-24,Pickleball Iniciación,13:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
