Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-11-28,Natación acondicionamiento,"13:15, 16:00, 19:30",De 17 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Triatlón por Madrid,"19:30, 20:30",De 15 a 64 años,60 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Ciclo sala,"18:15, 20:15",De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Circuito fitness,19:15,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Cubo Gym Cross Training/Funcional,"18:15, 19:15",De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Cuerpo mente,17:00,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Entrenamiento en suspensión,20:30,De 16 a 64 años,30 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Fitness Acuatico,"16:15, 20:15",De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Gimnasia acuática,15:30,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Natación acondicionamiento,20:15,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Pilates,16:00,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Yoga,19:15,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Aletas acondicionamiento,12:30,De 15 a 64 años,45 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Cubo Gym Cross Training/Funcional,"12:45, 16:00",De 15 a 64 años,45 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Fitness,15:45,De 15 a 64 años,60 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Natación acondicionamiento,11:45,De 15 a 64 años,45 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Pilates MesD,18:00,De 15 a 64 años,60 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Prueba de nivel natación para CDM Casa de Campo,"12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 19:30, 20:30",A partir de 6 años,5 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Entrenamiento Funcional MesD,16:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Gimnasia acuatica,13:30,De 16 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Natación acondicionamiento,"15:00, 15:45, 18:45, 20:15",De 16 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Pilates INICIACIÓN MesD,15:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Pilates MesD,21:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Prueba de nivel natación,"12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 19:00, 19:30, 20:00, 20:30",,15 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Aerofitness,20:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Combinada sala,15:30,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Gimnasia Acuática,19:30,De 15 a 64 años,45 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Padel acondicionamiento,13:30,,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Actividad física y juego (preinfantil): Predanza,16:30,,45 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
2023-11-28,Gimnasia suave,19:30,De 15 a 74 años,60 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
2023-11-28,Pilates,16:30,De 15 a 64 años,60 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
2023-11-28,Yoga,19:30,De 15 a 64 años,60 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
2023-11-28,Aerofitness,20:00,De 15 a 64 años,60 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020.0
2023-11-28,Fitness **,"19:00, 20:00",De 15 a 64 años,60 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020.0
2023-11-28,Marcha nórdica por Madrid,19:00,De 15 a 64 años,90 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020.0
2023-11-28,Pilates,"16:00, 18:00",A partir de 15 años,60 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020.0
2023-11-28,Yoga,21:00,A partir de 15 años,60 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020.0
2023-11-28,Cubo Gym Cross Training/Funcional,"16:00, 17:00, 18:00, 19:00",De 15 a 64 años,60 minutos,Cubo Gym Las Tablas,"Calle Fromista Esq Calle Castiello de Jaca, 28050, Madrid",Fuencarral-El Pardo,915880432.0
2023-11-28,Cubo Gym Cross Training/Funcional,"16:00, 17:00, 18:00, 19:00",De 15 a 64 años,45 minutos,Cubo Gym Madrid Río,"Paseo Bajo de la Virgen del Puerto, 28005, Madrid",Centro,915880432.0
2023-11-28,Cubo Gym Cross Training/Funcional,"16:00, 17:00, 18:00, 19:00",De 15 a 64 años,60 minutos,Cubo Gym Retiro,"Pª de Fernán Núñez, (en ""Capricho Castillete""), 28009, Madrid",Retiro,915880432.0
2023-11-28,Combinada piscina,21:00,De 15 a 64 años,60 minutos,Daoíz y Velarde,"Plaza de Daoíz y Velarde, 5, 28007, Madrid",,
2023-11-28,Fuerza general,19:00,De 15 a 64 años,60 minutos,Daoíz y Velarde,"Plaza de Daoíz y Velarde, 5, 28007, Madrid",,
2023-11-28,Fuerza GAP,12:00,De 15 a 64 años,60 minutos,Daoíz y Velarde,"Plaza de Daoíz y Velarde, 5, 28007, Madrid",,
2023-11-28,Prueba de nivel de natación,"13:00, 13:30, 16:45, 17:25, 21:00",A partir de 6 años,5 minutos,Daoíz y Velarde,"Plaza de Daoíz y Velarde, 5, 28007, Madrid",,
2023-11-28,Gimnasia acuática,20:30,De 15 a 64 años,45 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",,
2023-11-28,Natación acondicionamiento,"13:30, 19:00",De 15 a 64 años,30 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",,
2023-11-28,Natación acondicionamiento,15:30,De 15 a 64 años,45 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",,
2023-11-28,Pilates,18:00,De 15 a 64 años,60 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",,
2023-11-28,Prueba de nivel natación,"13:15, 18:15",,15 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",,
2023-11-28,Combinada sala,11:30,De 15 a 64 años,60 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871.0
2023-11-28,Cross Training Cubo Gym,"12:30, 17:00",De 15 a 64 años,60 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871.0
2023-11-28,Cuerpo mente,12:30,De 15 a 64 años,60 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871.0
2023-11-28,Funcional,20:00,De 15 a 64 años,45 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871.0
2023-11-28,Pilates,15:30,De 15 a 64 años,60 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871.0
2023-11-28,Fitness Acuático,16:00,De 15 a 64 años,45 minutos,Entrevías,"Calle del Ronda Sur, 4, 28053, Madrid",,
2023-11-28,Fuerza GAP,12:00,De 15 a 64 años,60 minutos,Entrevías,"Calle del Ronda Sur, 4, 28053, Madrid",,
2023-11-28,Fuerza general,15:30,De 15 a 64 años,,Entrevías,"Calle del Ronda Sur, 4, 28053, Madrid",,
2023-11-28,Fuerza hipopresivos,18:30,De 15 a 64 años,60 minutos,Entrevías,"Calle del Ronda Sur, 4, 28053, Madrid",,
2023-11-28,Cubo Gym Cross Training/Funcional,"15:30, 19:30",De 15 a 64 años,45 minutos,Estadio Vallehermoso,"Calle Jesús Maestro c/v. Melquiadas Álvarez, 28003, Madrid",,
2023-11-28,PILATES,19:30,De 18 a 64 años,60 minutos,Estadio Vallehermoso,"Calle Jesús Maestro c/v. Melquiadas Álvarez, 28003, Madrid",,
2023-11-28,Carrera Acuática,15:45,De 15 a 64 años,45 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Fitness,12:45,De 15 a 64 años,60 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Gimnasia acuática,"15:45, 19:45",De 15 a 64 años,45 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Marcha nórdica por Madrid,17:00,De 15 a 64 años,90 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Natación acondicionamiento,"15:45, 19:45, 20:30",De 15 a 64 años,45 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Pilates,17:45,De 15 a 64 años,60 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Pilates,16:30,De 15 a 64 años,60 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Prueba de nivel natación,"19:00, 20:30",,,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Tenis acondicionamiento,20:00,De 15 a 64 años,60 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",,
2023-11-28,Aerofitness,20:00,De 15 a 64 años,60 minutos,Fernando Martín,"Avenida Santo Ángel de la Guarda, 6, 28039, Madrid",,
2023-11-28,Fitness,19:00,De 15 a 64 años,60 minutos,Fernando Martín,"Avenida Santo Ángel de la Guarda, 6, 28039, Madrid",,
2023-11-28,Fuerza en sala multitrabajo,18:00,A partir de 16 años,60 minutos,Fernando Martín,"Avenida Santo Ángel de la Guarda, 6, 28039, Madrid",,
2023-11-28,Pádel acondicionamiento,16:00,De 15 a 64 años,60 minutos,Fernando Martín,"Avenida Santo Ángel de la Guarda, 6, 28039, Madrid",,
2023-11-28,Pruebas de nivel de natación,"13:45, 19:00",A partir de 6 años,10 minutos,Fernando Martín,"Avenida Santo Ángel de la Guarda, 6, 28039, Madrid",,
2023-11-28,Ciclo sala,"18:00, 19:00",De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Cubo Gym Cross Training/Funcional,19:00,De 15 a 64 años,45 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Entrenamiento funcional.,17:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Estiramientos relaj BodyBalance,"12:00, 20:00",De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Fitness Cross,"18:00, 20:00",De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Fuerza CORE,12:00,De 15 a 64 años,30 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Fuerza General BodyPump,20:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Gimnasia acuática,20:15,De 15 a 64 años,45 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,HIIT exprés,18:30,De 15 a 64 años,30 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Pilates,18:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731.0
2023-11-28,Gimnasia acuatica,20:15,De 15 a 64 años,45 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369.0
2023-11-28,Pilates MesD,"14:00, 16:00",De 15 a 64 años,60 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369.0
2023-11-28,Entrenamiento funcional,19:00,De 15 a 64 años,60 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",,
2023-11-28,Fitness,20:00,De 15 a 64 años,60 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",,
2023-11-28,Fitness acuático MesD,12:00,De 15 a 64 años,45 minutos,Gimnasio Moscardó,"Calle del Pilar de Zaragoza, 93, 28028, Madrid",,
2023-11-28,Gimnasia acuática,"14:00, 19:30",De 15 a 64 años,45 minutos,Gimnasio Moscardó,"Calle del Pilar de Zaragoza, 93, 28028, Madrid",,
2023-11-28,Natación acondicionamiento,"15:00, 16:00, 20:15",De 15 a 64 años,45 minutos,Gimnasio Moscardó,"Calle del Pilar de Zaragoza, 93, 28028, Madrid",,
2023-11-28,Ciclo sala,19:10,De 15 a 64 años,45 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965.0
