Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-12-02,Fitness acuático MesD,13:00,De 15 a 64 años,45 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",Moncloa-Aravaca,913571228
2023-12-02,Autoprotección para las mujeres,11:00,De 15 a 64 años,120 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",Puente de Vallecas,914781492
2023-12-02,Ciclo sala,11:50,De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-12-02,Combinada sala,13:00,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-12-02,Gimnasia acuática,12:00,De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-12-02,Prueba de nivel natación,"12:30, 13:00, 13:30, 14:00, 14:30",,15 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",Arganzuela,915063616
2023-12-02,Cubo Gym Cross Training/Funcional,"12:00, 13:00, 16:00, 17:00, 18:00, 19:00",De 15 a 64 años,60 minutos,Cubo Gym Las Tablas,"Calle Fromista Esq Calle Castiello de Jaca, 28050, Madrid",Fuencarral - El Pardo,915880432
2023-12-02,Cubo Gym Cross Training/Funcional,"12:00, 13:00, 16:00, 17:00, 18:00, 19:00",De 15 a 64 años,45 minutos,Cubo Gym Madrid Río,"Paseo Bajo de la Virgen del Puerto, 28005, Madrid",Centro,915880432
2023-12-02,Cubo Gym Cross Training/Funcional,"12:00, 13:00, 16:00, 17:00, 18:00, 19:00",De 15 a 64 años,60 minutos,Cubo Gym Retiro,"Pª de Fernán Núñez, (en ""Capricho Castillete""), 28009, Madrid",Retiro,915880432
2023-12-02,Natación acondicionamiento,13:15,De 15 a 64 años,45 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",Villaverde,913603265
2023-12-02,Ciclo sala,12:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
2023-12-02,Estiramientos relaj BodyBalance,12:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
2023-12-02,Gimnasia acuatica,13:15,De 15 a 64 años,45 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
2023-12-02,Pilates MesD,13:15,De 15 a 64 años,60 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
2023-12-02,Natación acondicionamiento,13:15,De 15 a 64 años,45 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-02,Pilates,13:00,De 15 a 64 años,60 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-02,Prueba de nivel NATACIÓN,14:00,A partir de 6 años,15 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-02,Autoprotección para las mujeres,11:00,De 15 a 64 años,120 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231
2023-12-02,Natación acondicionamiento N1,13:30,De 18 a 64 años,45 minutos,Palomeras,"Calle del Tranvía de Arganda, 4, 28031, Madrid",Puente de Vallecas,917774901
2023-12-02,Fitness Acuatico,13:30,De 15 a 64 años,45 minutos,Pradillo,"Calle de Pradillo 33, 28002, Madrid",Chamartín,914137105
2023-12-02,Autoprotección para las mujeres,12:00,De 15 a 64 años,120 minutos,San Juan Bautista,"Calle de Treviana, 1 B, 28043, Madrid",Ciudad Lineal,914164259
2023-12-02,Pilates MesD,12:30,De 15 a 64 años,60 minutos,Torrespaña,"Calle del Alcalde Sáinz de Baranda, 94, 28007, Madrid",Salamanca,917654330
