Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-10-16,Fuerza GAP,20:50,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-16,Salvamento y socorrismo,21:00,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",Carabanchel,914661278
2023-10-16,Correr por Madrid montañismo,20:30,De 15 a 64 años,90 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",Moncloa-Aravaca,914630050
2023-10-16,Cubo Gym Cross Training/Funcional,21:00,De 15 a 64 años,60 minutos,Cubo Gym Las Tablas,"Calle Fromista Esq Calle Castiello de Jaca, 28050, Madrid",Fuencarral - El Pardo,915880432
2023-10-16,Cubo Gym Cross Training/Funcional,21:00,De 15 a 64 años,45 minutos,Cubo Gym Madrid Río,"Paseo Bajo de la Virgen del Puerto, 28005, Madrid",Centro,915880432
2023-10-16,Cubo Gym Cross Training/Funcional,21:00,De 15 a 64 años,60 minutos,Cubo Gym Retiro,"Pª de Fernán Núñez, (en ""Capricho Castillete""), 28009, Madrid",Retiro,915880432
2023-10-16,Autoprotección para las mujeres,20:15,De 15 a 64 años,120 minutos,Faustina Valladolid,"Calle de Ladera de los Almendros, 2, 28032, Madrid",Vicálvaro,917723591
2023-10-16,Fuerza GAP,21:00,De 15 a 64 años,60 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965
2023-10-16,Padel acondicionamiento / Nivel alto,21:15,De 15 a 64 años,60 minutos,Las Cruces,"Avenida de los Poblados, 72, 28044, Madrid",Latina,915888600
2023-10-16,Tonificación GAP,21:00,De 15 a 64 años,50 minutos,Las Cruces,"Avenida de los Poblados, 72, 28044, Madrid",Latina,915888600
2023-10-16,Padel acondicionamiento,21:30,De 16 a 64 años,60 minutos,Marqués de Samaranch,"Paseo Imperial, 18, 28005, Madrid",Arganzuela,913642240
2023-10-16,Cuerpo mente,21:00,De 15 a 64 años,60 minutos,Pradillo,"Calle de Pradillo 33, 28002, Madrid",Chamartín,914137105
2023-10-16,Tenis acondicionamiento,21:30,De 15 a 64 años,60 minutos,Torrespaña,"Calle del Alcalde Sáinz de Baranda, 94, 28007, Madrid",Salamanca,917654330
