Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-10-31,Gimnasia acuática,"19:30, 20:15",De 15 a 64 años,45 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",Moncloa-Aravaca,913571228
2023-10-31,Combinada sala-piscina,19:15,De 15 a 64 años,60 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Correr por Madrid,19:30,De 15 a 64 años,90 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Cubo Gym Cross Training/Funcional,"18:15, 19:15",De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Cuerpo mente,16:45,De 15 a 64 años,60 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Fitness,19:15,De 15 a 64 años,60 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Marcha nórdica por Madrid,19:00,De 15 a 64 años,90 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Pilates MesD,18:00,De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Pilates Mesd,20:15,De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Prueba de nivel natación,"17:00, 20:15",A partir de 6 años,5 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",Latina,917062868
2023-10-31,Fuerza GAP,20:00,,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",Puente de Vallecas,914781492
2023-10-31,Pilates,"17:00, 20:00",,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",Puente de Vallecas,914781492
2023-10-31,Ciclo sala,"17:45, 19:10, 20:30",De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Entrenamiento funcional,"16:30, 19:20",De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Entrenamiento por intervalos,"17:40, 18:50",De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Fitness,18:05,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Fitness B. Pump,20:45,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Fitness B.Combat,19:10,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Fuerza CORE,18:20,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Fuerza GAP,20:45,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Gimnasia acuática,"19:15, 20:10",De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-10-31,Gimnasia suave,17:00,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
